x,y1,y2,y3,y4,y5,y6
1963.5833333,99.61,99.56,99.11,100.68,98.77,100.27
1963.6666667,104.660227,98.8133,100.775048,101.042448,98.434182,100.520675
1963.75,103.01706144,98.26982685,100.85566804,100.32504662,98.719641128,100.79208082
1963.8333333,105.62339309,96.923530222,100.7144701,103.13414792,96.725504377,101.08437786
1963.9166667,104.72559425,96.060910803,102.53740201,102.60816377,98.959863528,101.35730568
1964,106.64207262,94.07244995,102.45537209,102.63894622,98.920279583,101.65124186
1964.0833333,109.03085505,94.175929644,103.96146606,102.81343243,100.4139758,101.95619559
1964.1666667,110.70993022,94.458457433,106.81001023,102.76202571,101.31770159,102.2212817
1964.25,112.27094023,95.743092455,110.39882657,100.49098494,104.54973627,102.53816767
1964.3333333,112.38321117,94.220777284,109.75851338,99.214749435,103.46241901,102.83552836
1964.4166667,113.97905277,93.61776431,111.75611832,99.056005836,103.6072664,103.10290073
1964.5,115.42658674,93.907979379,112.46018187,98.778649019,103.4518555,103.41220943
1964.5833333,117.43500935,94.349346882,113.30363323,98.818160479,105.45882149,103.72244606
1964.6666667,115.74394522,94.745614139,113.39427614,98.966387719,105.8068356,104.01286891
1964.75,118.85745734,94.432953613,115.32197883,98.431969226,106.4522573,104.30410494
1964.8333333,119.55871634,95.29229349,116.67124599,98.057927743,106.91000201,104.60658685
1964.9166667,119.55871634,95.14935505,114.38448956,98.665886895,106.632036,104.90994595
1965,119.59458396,94.483309565,111.54775422,99.692012118,105.05388187,105.23516678
1965.0833333,123.82823223,96.788702318,111.68161153,100.57927103,105.15893575,105.52982525
1965.1666667,124.37307645,99.973050625,111.8044613,100.78042957,104.47540267,105.84641472
1965.25,122.70647723,102.08248199,112.95604725,100.41762002,105.22762557,106.22746182
1965.3333333,126.52264867,103.21559754,113.70155716,100.82933226,102.83895847,106.55676695
1965.4166667,125.54842427,103.34977782,111.87096209,100.42601493,103.35315326,106.88709293
1965.5,118.6307061,98.926407329,112.53100077,100.63690957,103.73555993,107.26119775
1965.5833333,120.32712519,99.984919887,114.93916419,99.258183905,103.7666806,107.59370747
1965.6666667,123.61205571,102.69451122,113.76678471,101.1440894,102.99880716,107.9487667
1965.75,127.14736051,103.33121719,113.63026457,100.243907,103.82279762,108.28340788
1965.8333333,130.45319188,106.91681042,115.41425972,101.41676072,103.14794943,108.61908644
1965.9166667,130.41405592,112.4551012,115.52967398,100.39245143,102.17835871,108.99925324
1966,131.73123789,115.44640689,117.8633734,99.247977486,101.63681341,109.35895078
1966.0833333,132.6797028,120.8377541,122.02395048,96.449184521,101.52501291,109.77451479
1966.1666667,131.07427839,126.52921231,122.37781994,96.285220907,100.01229022,110.15872559
1966.25,127.78431401,126.93410579,119.93026354,97.536928779,100.07229759,110.57732875
1966.3333333,130.51889833,131.17370493,119.3665913,97.917322801,99.121610766,110.95329167
1966.4166667,123.13152868,124.48384598,117.44478918,99.523166895,97.614962283,111.40820016
1966.5,121.35843467,126.18927467,118.02026865,99.672451646,98.376358988,111.83155133
1966.5833333,119.38029218,125.58356615,119.18866931,99.273761839,100.16680872,112.22296176
1966.6666667,109.93731107,121.64024217,119.71309945,99.154633325,100.95812651,112.6830759
1966.75,108.77197557,120.25354341,120.32363626,97.379765388,103.31045086,113.1338082
1966.8333333,112.97057383,112.49718986,123.54830971,93.990949553,107.69081398,113.64291034
1966.9166667,114.55216186,116.40084235,117.65505534,97.891573959,100.48629852,114.09748198
