x,y1,y2,y3,y4
1960.0833333,13.8,16,,
1960.1666667,8,16,,
1960.25,19.4,21,,
1960.3333333,15.9,16,,
1960.4166667,25.3,19,,
1960.5,30.6,40,,
1960.5833333,10.4,17,,
1960.6666667,27.5,23,,
1960.75,18.1,20,,
1960.8333333,12.6,27,,
1960.9166667,7.4,38,,
1961,25,16,,
1961.0833333,29.9,11,,
1961.1666667,74.9,27,,
1961.25,70.7,25,,
1961.3333333,71.1,27,,
1961.4166667,44.7,42,,
1961.5,22.8,29,,
1961.5833333,16.7,29,,
1961.6666667,23.8,50,,
1961.75,5.6,37,,
1961.8333333,14.5,53,,
1961.9166667,20.5,53,,
1962,13.9,52,,
1962.0833333,16.2,40,,
1962.1666667,4.1,31,,
1962.25,2.4,50,,
1962.3333333,-3.1,74,,
1962.4166667,-13.4,40,,
1962.5,1.2,5,,
1962.5833333,2.7,6,,
1962.6666667,3.6,7,,
1962.75,-0.4,17,,
1962.8333333,-13.4,7,,
1962.9166667,-7.8,11,,
1963,-11.4,10,,
1963.0833333,14.7,2,,
1963.1666667,-8.3,5,,
1963.25,6.3,7,,
1963.3333333,0.4,8,,
1963.4166667,9.2,8,,
1963.5,-0.9,10,,
1963.5833333,-1.3,6,,
1963.6666667,1.2,7,,
1963.75,3.5,8,,
1963.8333333,-1,8,,
1963.9166667,13.9,8,,
1964,20.4,6,,
1964.0833333,11.9,10,,
1964.1666667,15.5,4,,
1964.25,9.7,2,,
1964.3333333,-1.3,11,,
1964.4166667,6.8,12,,
1964.5,8.2,8,,
1964.5833333,-7.9,5,,
1964.6666667,0.7,11,,
1964.75,-4.4,8,,
1964.8333333,3.4,8,,
1964.9166667,14.5,8,,
1965,6.8,10,,
1965.0833333,16.7,6,,
1965.1666667,1.2,7,,
1965.25,34.9,13,,
1965.3333333,17.7,24,,
1965.4166667,20,13,,
1965.5,7.2,8,,
1965.5833333,35.3,8,,
1965.6666667,28,8,,
1965.75,-5.3,17,,
1965.8333333,-4.4,11,,
1965.9166667,1.5,20,,
1966,0.1,11,,
1966.0833333,-5.8,5,,
1966.1666667,33.1,4,,
1966.25,21,9,,
1966.3333333,25,16,,
1966.4166667,-3.6,10,,
1966.5,18,13,,
1966.5833333,8.3,8,,
1966.6666667,0.3,5,,
1966.75,-0.4,1,,
1966.8333333,-9.4,5,,
1966.9166667,-4.1,5,,
1967,2.3,3,,
1967.0833333,44.7,2,,
1967.1666667,7.9,4,,
1967.25,22.6,4,,
1967.3333333,8,12,,
1967.4166667,20.7,8,,
1967.5,43.3,5,,
1967.5833333,35.1,7,,
1967.6666667,53.8,12,,
1967.75,36.7,9,,
1967.8333333,27.6,12,,
1967.9166667,47.7,14,,
1968,103.8,11,,
1968.0833333,63.9,15,,
1968.1666667,32.1,14,,
1968.25,39.4,21,,
1968.3333333,56,18,,
1968.4166667,96,28,,
1968.5,75.6,23,,
1968.5833333,60.6,30,,
1968.6666667,45.6,24,,
1968.75,67.6,29,,
1968.8333333,36.6,53,,
1968.9166667,53.4,52,,
1969,43.5,61,,
1969.0833333,37,68,,
1969.1666667,20.4,54,,
1969.25,12,88,,
1969.3333333,23.1,76,,
1969.4166667,22.8,72,,
1969.5,-2.5,78,,
1969.5833333,-11.9,34,,
1969.6666667,13.5,33,,
1969.75,5.7,54,,
1969.8333333,13.8,85,,
1969.9166667,21.1,68,,
1970,-4.7,71,,
1970.0833333,8.3,76,,
1970.1666667,2.7,38,,
1970.25,-2.5,38,,
1970.3333333,-10.7,34,,
1970.4166667,-28.8,11,,
1970.5,6.4,26,,
1970.5833333,1.6,23,,
1970.6666667,-11,17,,
1970.75,3,20,,
1970.8333333,0.3,23,,
1970.9166667,9.7,30,,
1971,0.8,22,,
1971.0833333,24.2,17,,
1971.1666667,35.8,19,,
1971.25,9.3,32,,
1971.3333333,37.1,32,,
1971.4166667,16.3,29,,
1971.5,21,30,,
1971.5833333,-2.9,32,,
1971.6666667,41.7,31,,
1971.75,8.9,37,,
1971.8333333,12.7,35,,
1971.9166667,19.4,49,,
1972,24.3,48,,
1972.0833333,17.8,39,,
1972.1666667,27.8,38,,
1972.25,22.1,66,,
1972.3333333,19.7,66,,
1972.4166667,5.8,49,,
1972.5,10.3,66,,
1972.5833333,0.9,32,,
1972.6666667,20,51,,
1972.75,10.9,32,,
1972.8333333,-1.9,43,,
1972.9166667,8.2,40,,
1973,-1.4,40,,
1973.0833333,0.1,31,,
1973.1666667,-0.8,21,,
1973.25,-4.8,9,,
1973.3333333,9.7,8,,
1973.4166667,-5.1,8,,
1973.5,-5,2,,
1973.5833333,-2.9,1,,
1973.6666667,2.7,6,,
1973.75,18.9,5,,
1973.8333333,-10.3,9,,
1973.9166667,1.7,5,,
1974,,0,,
1974.0833333,,0,,
1974.1666667,6.2,5,,
1974.25,-12.5,2,,
1974.3333333,,0,,
1974.4166667,,0,,
1974.5,0,2,,
1974.5833333,,0,,
1974.6666667,,0,,
1974.75,,0,,
1974.8333333,,0,,
